                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6784,                 3.5998,                 1.3641,                      0,                      0,                      0,                      0,                 1.3485,                 3.3082,                 1.0192,                      0,                      0,                      0
                      1,                 1.8044,                  3.604,                 1.3891,                      0,                      0,                      0,                      0,                 1.3164,                 3.3137,                 1.0151,              1.982e-05,              1.982e-05,              1.982e-05
                      2,                 1.7053,                 3.4913,                 1.3577,                      0,                      0,                      0,                      0,                 1.2739,                 3.3129,                 1.0085,              3.928e-05,              3.928e-05,              3.928e-05
                      3,                 1.8003,                 3.6012,                   1.27,                      0,                      0,                      0,                      0,                 1.1892,                 3.2895,                0.98252,              5.838e-05,              5.838e-05,              5.838e-05
                      4,                 1.5393,                 3.5093,                 1.2446,                      0,                      0,                      0,                      0,                 1.1295,                 3.2742,                0.96346,              7.712e-05,              7.712e-05,              7.712e-05
                      5,                 1.4724,                 3.3527,                 1.2349,                      0,                      0,                      0,                      0,                 1.1099,                 3.2576,                0.95967,               9.55e-05,               9.55e-05,               9.55e-05
                      6,                 1.5072,                 3.3156,                 1.1566,                      0,                      0,                      0,                      0,                 1.0756,                 3.2292,                0.94699,             0.00011352,             0.00011352,             0.00011352
                      7,                 1.3376,                 3.1484,                 1.1496,                      0,                      0,                      0,                      0,                 1.1055,                 3.1996,                0.95096,             0.00013118,             0.00013118,             0.00013118
                      8,                 1.6814,                  3.114,                 1.1448,                      0,                      0,                      0,                      0,                 1.1606,                 3.1579,                0.96065,             0.00014848,             0.00014848,             0.00014848
                      9,                 1.3666,                 3.0112,                 1.0715,                      0,                      0,                      0,                      0,                 1.2527,                 3.1025,                0.98173,             0.00016542,             0.00016542,             0.00016542
                     10,                 1.5659,                 2.4906,                 1.0982,                      0,                      0,                      0,                      0,                 1.3363,                 3.0532,                 0.9933,               0.000182,               0.000182,               0.000182
                     11,                 1.3936,                 2.3777,                 1.0017,                      0,                      0,                      0,                      0,                 1.4579,                 3.0229,                 1.0274,             0.00019822,             0.00019822,             0.00019822
                     12,                 1.3322,                 2.1815,                 1.0184,                      0,                      0,                      0,                      0,                 1.4783,                 2.9904,                 1.0411,             0.00021408,             0.00021408,             0.00021408
                     13,                 1.2171,                 1.8872,                0.98741,                      0,                      0,                      0,                      0,                 1.4487,                 2.9486,                 1.0335,             0.00022958,             0.00022958,             0.00022958
                     14,                   1.36,                 1.5599,                 1.0066,                      0,                      0,                      0,                      0,                 1.4978,                 2.9176,                 1.0309,             0.00024472,             0.00024472,             0.00024472
                     15,                 1.3491,                 1.4985,                0.99642,                      0,                      0,                      0,                      0,                 1.5834,                    2.9,                 1.0458,              0.0002595,              0.0002595,              0.0002595
                     16,                 1.1799,                 1.1401,                0.99791,                      0,                      0,                      0,                      0,                 1.6766,                 2.8626,                 1.0594,             0.00027392,             0.00027392,             0.00027392
                     17,                 1.1614,                 1.2971,                0.96553,                      0,                      0,                      0,                      0,                 1.6766,                 2.8626,                 1.0594,             0.00028798,             0.00028798,             0.00028798
                     18,                 1.2141,                 1.2298,                0.96107,                      0,                      0,                      0,                      0,                 1.7445,                 2.8248,                 1.0712,             0.00030168,             0.00030168,             0.00030168
                     19,                 1.2707,                0.92206,                0.99192,                      0,                      0,                      0,                      0,                 1.7445,                 2.8248,                 1.0712,             0.00031502,             0.00031502,             0.00031502
                     20,                 1.5248,                 1.1961,                 1.0492,                      0,                      0,                      0,                      0,                 1.7706,                 2.7652,                  1.085,               0.000328,               0.000328,               0.000328
                     21,                 1.2249,                0.98341,                0.93504,                      0,                      0,                      0,                      0,                 1.7706,                 2.7652,                  1.085,             0.00034062,             0.00034062,             0.00034062
                     22,                 1.3495,                 1.0815,                0.95321,                      0,                      0,                      0,                      0,                 1.7392,                 2.7219,                 1.0947,             0.00035288,             0.00035288,             0.00035288
                     23,                 1.2866,                 1.0029,                0.95704,                      0,                      0,                      0,                      0,                 1.7392,                 2.7219,                 1.0947,             0.00036478,             0.00036478,             0.00036478
                     24,                 1.4221,                 0.9813,                0.98743,                      0,                      0,                      0,                      0,                 1.7038,                   2.71,                 1.1089,             0.00037632,             0.00037632,             0.00037632
                     25,                  1.484,                0.99544,                0.96462,                      0,                      0,                      0,                      0,                 1.7038,                   2.71,                 1.1089,              0.0003875,              0.0003875,              0.0003875
                     26,                 1.5994,                 1.0489,                 1.0619,                      0,                      0,                      0,                      0,                 1.5738,                 2.7223,                 1.0823,             0.00039832,             0.00039832,             0.00039832
                     27,                 1.6621,                 1.0164,                  1.074,                      0,                      0,                      0,                      0,                 1.5738,                 2.7223,                 1.0823,             0.00040878,             0.00040878,             0.00040878
                     28,                 1.6563,                 1.0335,                 1.0151,                      0,                      0,                      0,                      0,                 1.4379,                  2.814,                 1.0578,             0.00041888,             0.00041888,             0.00041888
                     29,                  1.617,                 1.0372,                 1.0579,                      0,                      0,                      0,                      0,                 1.4379,                  2.814,                 1.0578,             0.00042862,             0.00042862,             0.00042862
