                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7605,                 3.6535,                 1.1743,                      0,                      0,                      0,                      0,                 1.6555,                 3.6005,                 1.1029,                      0,                      0,                      0
                      1,                 1.7939,                 3.5766,                  1.371,                      0,                      0,                      0,                      0,                 1.5729,                 3.5983,                 1.0814,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      2,                 1.8594,                 3.6308,                 1.2224,                      0,                      0,                      0,                      0,                 1.4666,                 3.5907,                 1.0519,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      3,                 1.6366,                 3.5891,                 1.2172,                      0,                      0,                      0,                      0,                 1.2779,                 3.5805,                 1.0048,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      4,                 1.5305,                 3.5638,                 1.0764,                      0,                      0,                      0,                      0,                 1.1704,                 3.5468,                0.96194,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      5,                 1.7591,                 3.5263,                 1.0708,                      0,                      0,                      0,                      0,                 1.1439,                 3.4959,                0.93865,              9.505e-05,              9.505e-05,              9.505e-05
                      6,                 1.4102,                 3.4567,                  1.004,                      0,                      0,                      0,                      0,                 1.1403,                 3.4302,                0.92035,             0.00011287,             0.00011287,             0.00011287
                      7,                 1.2207,                 3.2243,                 1.0454,                      0,                      0,                      0,                      0,                 1.1839,                 3.3929,                0.91284,              0.0001303,              0.0001303,              0.0001303
                      8,                 1.6102,                 3.1033,                0.99555,                      0,                      0,                      0,                      0,                 1.2775,                 3.3782,                0.94265,             0.00014733,             0.00014733,             0.00014733
                      9,                 1.4197,                 2.9531,                0.96003,                      0,                      0,                      0,                      0,                 1.4402,                 3.3706,                0.98755,             0.00016396,             0.00016396,             0.00016396
                     10,                 1.4888,                 2.8295,                0.99174,                      0,                      0,                      0,                      0,                 1.6322,                 3.3876,                 1.0558,              0.0001802,              0.0001802,              0.0001802
                     11,                 1.3527,                 2.5232,                 1.0036,                      0,                      0,                      0,                      0,                 1.6285,                  3.363,                 1.0433,             0.00019604,             0.00019604,             0.00019604
                     12,                 1.1852,                 2.3786,                0.94938,                      0,                      0,                      0,                      0,                 1.5399,                 3.3039,                 1.0029,             0.00021149,             0.00021149,             0.00021149
                     13,                 1.2888,                 2.3076,                 0.9168,                      0,                      0,                      0,                      0,                 1.4117,                  3.236,                0.95598,             0.00022654,             0.00022654,             0.00022654
                     14,                 1.6484,                 2.1046,                0.92525,                      0,                      0,                      0,                      0,                 1.3404,                 3.1414,                0.92399,             0.00024119,             0.00024119,             0.00024119
                     15,                 1.3122,                 2.0247,                   0.91,                      0,                      0,                      0,                      0,                 1.3038,                 3.0135,                0.91032,             0.00025545,             0.00025545,             0.00025545
                     16,                 1.2328,                 1.7726,                0.90444,                      0,                      0,                      0,                      0,                 1.3125,                 2.8333,                0.90648,             0.00026931,             0.00026931,             0.00026931
                     17,                 1.2356,                 1.2523,                0.90487,                      0,                      0,                      0,                      0,                 1.3125,                 2.8333,                0.90648,             0.00028278,             0.00028278,             0.00028278
                     18,                 1.3248,                 1.9149,                0.98073,                      0,                      0,                      0,                      0,                 1.3473,                  2.548,                0.90181,             0.00029585,             0.00029585,             0.00029585
                     19,                 1.4883,                 1.3896,                0.90162,                      0,                      0,                      0,                      0,                 1.3473,                  2.548,                0.90181,             0.00030852,             0.00030852,             0.00030852
                     20,                 1.1621,                 1.3848,                0.91351,                      0,                      0,                      0,                      0,                 1.4281,                 2.2883,                0.91733,              0.0003208,              0.0003208,              0.0003208
                     21,                 1.1029,                 1.4746,                0.90618,                      0,                      0,                      0,                      0,                 1.4281,                 2.2883,                0.91733,             0.00033268,             0.00033268,             0.00033268
                     22,                 1.1771,                 1.2445,                  0.929,                      0,                      0,                      0,                      0,                 1.5095,                 1.9939,                0.93134,             0.00034417,             0.00034417,             0.00034417
                     23,                 1.2584,                 1.2472,                0.93047,                      0,                      0,                      0,                      0,                 1.5095,                 1.9939,                0.93134,             0.00035526,             0.00035526,             0.00035526
                     24,                 1.1962,                 1.1713,                0.99434,                      1,                0.06122,                0.53061,                 0.3015,                 1.6479,                 1.6475,                0.96747,             0.00036595,             0.00036595,             0.00036595
                     25,                 1.3449,                 1.1289,                0.94525,                      1,                0.06122,                0.53061,                 0.3015,                 1.6479,                 1.6475,                0.96747,             0.00037625,             0.00037625,             0.00037625
                     26,                 1.4372,                 1.2309,                0.91369,                      1,                0.28571,                0.64284,                0.35099,                 1.7585,                 1.4515,                 1.0146,             0.00038615,             0.00038615,             0.00038615
                     27,                  1.045,                0.96339,                0.90943,                      1,                0.28571,                0.64284,                0.35099,                 1.7585,                 1.4515,                 1.0146,             0.00039566,             0.00039566,             0.00039566
                     28,                 1.3446,                 1.2259,                0.93363,                      1,                0.40816,                0.70407,                 0.3816,                  1.631,                 1.3404,                0.99221,             0.00040477,             0.00040477,             0.00040477
                     29,                 1.3326,                 1.1478,                0.91772,                      1,                0.40816,                0.70407,                 0.3816,                  1.631,                 1.3404,                0.99221,             0.00041348,             0.00041348,             0.00041348
                     30,                 1.2611,                0.99247,                0.92754,                      1,                0.22449,                0.61223,                0.40857,                 1.4167,                  1.291,                0.93051,              0.0004218,              0.0004218,              0.0004218
                     31,                 1.2805,                 1.0229,                 0.8964,                      1,                0.22449,                0.61223,                0.40857,                 1.4167,                  1.291,                0.93051,             0.00042972,             0.00042972,             0.00042972
                     32,                 1.0354,                0.95538,                0.94598,                      1,                0.12245,                0.56121,                0.37538,                 1.3839,                 1.3085,                 0.9403,             0.00043725,             0.00043725,             0.00043725
                     33,                 1.5825,                 1.0082,                0.94508,                      1,                0.12245,                0.56121,                0.37538,                 1.3839,                 1.3085,                 0.9403,             0.00044438,             0.00044438,             0.00044438
                     34,                 1.3747,                0.96181,                0.89765,                      1,                0.16327,                0.58162,                0.36087,                 1.3396,                 1.3404,                0.94022,             0.00045111,             0.00045111,             0.00045111
                     35,                 1.5026,                0.94692,                0.92477,                      1,                0.16327,                0.58162,                0.36087,                 1.3396,                 1.3404,                0.94022,             0.00045745,             0.00045745,             0.00045745
                     36,                 1.3074,                0.90545,                0.91588,                      1,                0.16327,                0.58162,                0.38984,                 1.2171,                 1.3679,                 0.9167,             0.00046339,             0.00046339,             0.00046339
                     37,                 1.3708,                0.91794,                0.88416,                      1,                0.16327,                0.58162,                0.38984,                 1.2171,                 1.3679,                 0.9167,             0.00046894,             0.00046894,             0.00046894
                     38,                  1.891,                 1.0637,                0.98064,                      1,                0.14286,                0.57142,                0.38299,                 1.1721,                 1.4326,                0.90398,             0.00047409,             0.00047409,             0.00047409
                     39,                 1.3085,                0.87264,                0.97321,                      1,                0.14286,                0.57142,                0.38299,                 1.1721,                 1.4326,                0.90398,             0.00047884,             0.00047884,             0.00047884
                     40,                  1.427,                0.88541,                0.99533,                      1,                0.12245,                0.56121,                0.39129,                 1.1843,                 1.5013,                0.90057,              0.0004832,              0.0004832,              0.0004832
                     41,                 1.7309,                 1.1495,                0.92017,                      1,                0.12245,                0.56121,                0.39129,                 1.1843,                 1.5013,                0.90057,             0.00048716,             0.00048716,             0.00048716
                     42,                 1.2453,                0.84714,                0.91817,                      1,                0.10204,                0.55101,                0.36324,                 1.2439,                 1.5549,                0.91076,             0.00049073,             0.00049073,             0.00049073
                     43,                 1.2029,                0.84547,                0.93259,                      1,                0.10204,                0.55101,                0.36324,                 1.2439,                 1.5549,                0.91076,              0.0004939,              0.0004939,              0.0004939
                     44,                 1.2198,                0.85045,                0.92291,                      1,                0.10204,                0.55101,                0.35271,                 1.3254,                 1.5507,                 0.9286,             0.00049667,             0.00049667,             0.00049667
                     45,                 1.2491,                 0.9346,                0.90242,                      1,                0.10204,                0.55101,                0.35271,                 1.3254,                 1.5507,                 0.9286,             0.00049905,             0.00049905,             0.00049905
                     46,                 1.1921,                0.82904,                0.90565,                      1,                0.08163,                0.54081,                0.33634,                 1.3918,                 1.5624,                0.95078,             0.00050103,             0.00050103,             0.00050103
                     47,                 1.1357,                0.78233,                 0.9388,                      1,                0.08163,                0.54081,                0.33634,                 1.3918,                 1.5624,                0.95078,             0.00050262,             0.00050262,             0.00050262
                     48,                 1.3498,                0.93873,                0.92273,                      1,                0.10204,                0.55101,                0.38323,                 1.3288,                 1.4675,                0.94259,             0.00050381,             0.00050381,             0.00050381
                     49,                 1.1939,                0.90204,                0.91183,                      1,                0.10204,                0.55101,                0.38323,                 1.3288,                 1.4675,                0.94259,              0.0005046,              0.0005046,              0.0005046
                     50,                   1.15,                0.84026,                0.93012,                      1,                0.32653,                0.66325,                0.45014,                 1.2172,                 1.2968,                0.91737,               0.000505,               0.000505,               0.000505
                     51,                 1.0475,                0.77955,                0.90979,                      1,                0.32653,                0.66325,                0.45014,                 1.2172,                 1.2968,                0.91737,               0.000505,               0.000505,               0.000505
                     52,                 1.2073,                0.84838,                0.98231,                      1,                0.32653,                0.66325,                0.45014,                 1.2172,                 1.2968,                0.91737,             0.00050461,             0.00050461,             0.00050461
                     53,                 1.3171,                0.82519,                0.91596,                      1,                0.53061,                 0.7653,                0.54854,                 1.1544,                 1.1433,                0.90645,             0.00050382,             0.00050382,             0.00050382
                     54,                 1.1026,                0.76618,                0.97553,                      1,                0.53061,                 0.7653,                0.54854,                 1.1544,                 1.1433,                0.90645,             0.00050263,             0.00050263,             0.00050263
                     55,                  1.207,                0.78746,                0.91736,                      1,                0.53061,                 0.7653,                0.54854,                 1.1544,                 1.1433,                0.90645,             0.00050105,             0.00050105,             0.00050105
                     56,                  1.165,                0.76205,                 0.8908,                      1,                 0.7551,                 0.8775,                0.63202,                  1.146,                 1.0089,                0.90296,             0.00049907,             0.00049907,             0.00049907
                     57,                 1.0524,                0.76554,                0.93279,                      1,                 0.7551,                 0.8775,                0.63202,                  1.146,                 1.0089,                0.90296,              0.0004967,              0.0004967,              0.0004967
                     58,                  1.275,                0.85174,                0.89617,                      1,                 0.7551,                 0.8775,                0.63202,                  1.146,                 1.0089,                0.90296,             0.00049393,             0.00049393,             0.00049393
                     59,                  1.137,                 0.8368,                0.87583,                      1,                0.77551,                 0.8877,                0.64042,                  1.102,                0.98507,                0.88943,             0.00049076,             0.00049076,             0.00049076
                     60,                 1.2635,                0.78483,                0.94789,                      1,                0.77551,                 0.8877,                0.64042,                  1.102,                0.98507,                0.88943,              0.0004872,              0.0004872,              0.0004872
                     61,                 1.0482,                0.81538,                0.92002,                      1,                0.77551,                 0.8877,                0.64042,                  1.102,                0.98507,                0.88943,             0.00048324,             0.00048324,             0.00048324
                     62,                 1.1036,                0.76084,                0.88581,                      1,                 0.7551,                 0.8775,                0.64234,                 1.1014,                 1.0033,                0.88411,             0.00047889,             0.00047889,             0.00047889
                     63,                 1.1572,                0.80454,                0.96524,                      1,                 0.7551,                 0.8775,                0.64234,                 1.1014,                 1.0033,                0.88411,             0.00047414,             0.00047414,             0.00047414
                     64,                 1.0707,                0.88502,                0.89432,                      1,                 0.7551,                 0.8775,                0.64234,                 1.1014,                 1.0033,                0.88411,             0.00046899,             0.00046899,             0.00046899
                     65,                 1.2239,                0.81148,                0.86627,                      1,                0.61224,                 0.8061,                0.58019,                 1.1263,                 1.0675,                0.88671,             0.00046345,             0.00046345,             0.00046345
                     66,                  1.069,                0.77183,                0.91583,                      1,                0.61224,                 0.8061,                0.58019,                 1.1263,                 1.0675,                0.88671,             0.00045751,             0.00045751,             0.00045751
                     67,                 1.1416,                0.76334,                0.87803,                      1,                0.61224,                 0.8061,                0.58019,                 1.1263,                 1.0675,                0.88671,             0.00045118,             0.00045118,             0.00045118
                     68,                 1.0268,                0.79274,                0.88694,                      1,                0.44898,                0.72448,                0.49631,                 1.2265,                 1.1226,                0.90636,             0.00044445,             0.00044445,             0.00044445
                     69,                 1.0662,                0.79147,                0.94302,                      1,                0.44898,                0.72448,                0.49631,                 1.2265,                 1.1226,                0.90636,             0.00043732,             0.00043732,             0.00043732
                     70,                0.99586,                0.72689,                0.88357,                      1,                0.44898,                0.72448,                0.49631,                 1.2265,                 1.1226,                0.90636,              0.0004298,              0.0004298,              0.0004298
                     71,                 1.0782,                0.74322,                0.93046,                      1,                 0.4898,                 0.7449,                0.48925,                 1.3588,                 1.1171,                 0.9373,             0.00042188,             0.00042188,             0.00042188
                     72,                 1.1009,                0.86915,                0.99197,                      1,                 0.4898,                 0.7449,                0.48925,                 1.3588,                 1.1171,                 0.9373,             0.00041357,             0.00041357,             0.00041357
                     73,                 1.1533,                0.72466,                0.89244,                      1,                 0.4898,                 0.7449,                0.48925,                 1.3588,                 1.1171,                 0.9373,             0.00040486,             0.00040486,             0.00040486
                     74,                 1.0464,                0.76975,                0.97456,                      1,                0.53061,                 0.7653,                0.47982,                 1.5183,                 1.0937,                0.97979,             0.00039575,             0.00039575,             0.00039575
                     75,                 1.0111,                  0.769,                0.92399,                      1,                0.53061,                 0.7653,                0.47982,                 1.5183,                 1.0937,                0.97979,             0.00038625,             0.00038625,             0.00038625
                     76,                 1.2891,                 0.8079,                0.95851,                      1,                0.53061,                 0.7653,                0.47982,                 1.5183,                 1.0937,                0.97979,             0.00037635,             0.00037635,             0.00037635
                     77,                  1.096,                0.77717,                0.95271,                      1,                0.73469,                 0.8673,                0.55149,                 1.4869,                0.98663,                 0.9741,             0.00036606,             0.00036606,             0.00036606
                     78,                 1.2491,                0.78714,                0.92516,                      1,                0.73469,                 0.8673,                0.55149,                 1.4869,                0.98663,                 0.9741,             0.00035537,             0.00035537,             0.00035537
                     79,                 1.1143,                0.85977,                0.90413,                      1,                0.73469,                 0.8673,                0.55149,                 1.4869,                0.98663,                 0.9741,             0.00034428,             0.00034428,             0.00034428
                     80,                 1.0408,                 0.7916,                0.94833,                      1,                0.85714,                 0.9285,                0.60177,                  1.477,                0.93743,                0.97584,              0.0003328,              0.0003328,              0.0003328
                     81,                 1.1979,                0.82607,                0.88655,                      1,                0.85714,                 0.9285,                0.60177,                  1.477,                0.93743,                0.97584,             0.00032092,             0.00032092,             0.00032092
                     82,                 1.0532,                 0.7161,                0.92575,                      1,                0.85714,                 0.9285,                0.60177,                  1.477,                0.93743,                0.97584,             0.00030865,             0.00030865,             0.00030865
                     83,                 1.1402,                0.72628,                0.90225,                      1,                0.91837,                 0.9591,                0.63313,                 1.3928,                0.88269,                0.95675,             0.00029598,             0.00029598,             0.00029598
                     84,                 1.1615,                0.79438,                0.90985,                      1,                0.91837,                 0.9591,                0.63313,                 1.3928,                0.88269,                0.95675,             0.00028291,             0.00028291,             0.00028291
                     85,                 1.0188,                 0.7068,                 0.9312,                      1,                0.91837,                 0.9591,                0.63313,                 1.3928,                0.88269,                0.95675,             0.00026945,             0.00026945,             0.00026945
                     86,                 1.0482,                0.73553,                0.88775,                      1,                0.91837,                 0.9591,                0.63313,                 1.3928,                0.88269,                0.95675,             0.00025559,             0.00025559,             0.00025559
                     87,                 1.1375,                0.80311,                0.90042,                      1,                0.95918,                 0.9795,                0.68777,                 1.2996,                  0.833,                0.93392,             0.00024134,             0.00024134,             0.00024134
                     88,                 1.0802,                0.86654,                0.90943,                      1,                0.95918,                 0.9795,                0.68777,                 1.2996,                  0.833,                0.93392,             0.00022669,             0.00022669,             0.00022669
                     89,                 1.1749,                 0.8098,                0.89839,                      1,                0.95918,                 0.9795,                0.68777,                 1.2996,                  0.833,                0.93392,             0.00021164,             0.00021164,             0.00021164
                     90,                 0.9905,                0.72541,                0.88524,                      1,                0.95918,                 0.9795,                0.68777,                 1.2996,                  0.833,                0.93392,              0.0001962,              0.0001962,              0.0001962
                     91,                  1.127,                0.78123,                0.89923,                      1,                0.97959,                 0.9897,                 0.7065,                  1.237,                0.80316,                0.92007,             0.00018036,             0.00018036,             0.00018036
                     92,                 1.0445,                0.76619,                0.89848,                      1,                0.97959,                 0.9897,                 0.7065,                  1.237,                0.80316,                0.92007,             0.00016413,             0.00016413,             0.00016413
