                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.917,                 3.6998,                 1.1698,                      0,                      0,                      0,                      0,                 1.7694,                 3.5799,                 1.1589,                      0,                      0,                      0
                      1,                 2.3709,                 3.6903,                 1.3028,                      0,                      0,                      0,                      0,                 1.7834,                 3.5739,                 1.1565,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      2,                 1.7266,                 3.6303,                 1.3026,                      0,                      0,                      0,                      0,                 1.7082,                 3.5566,                 1.1334,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      3,                 1.7674,                 3.6463,                 1.0852,                      0,                      0,                      0,                      0,                 1.5995,                 3.5174,                 1.0803,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      4,                 1.7121,                  3.579,                  1.092,                      0,                      0,                      0,                      0,                 1.4642,                 3.4585,                 1.0361,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      5,                 1.5499,                  3.524,                 1.1481,                      0,                      0,                      0,                      0,                 1.3981,                 3.4241,                 1.0072,              9.505e-05,              9.505e-05,              9.505e-05
                      6,                 1.3534,                 3.4046,                 1.0331,                      0,                      0,                      0,                      0,                 1.4023,                 3.3848,                0.99308,             0.00011287,             0.00011287,             0.00011287
                      7,                 1.8985,                  3.377,                 1.0269,                      0,                      0,                      0,                      0,                 1.4714,                 3.3589,                 1.0035,              0.0001303,              0.0001303,              0.0001303
                      8,                 1.8554,                 3.2886,                 1.0767,                      0,                      0,                      0,                      0,                 1.4781,                  3.333,                 1.0052,             0.00014733,             0.00014733,             0.00014733
                      9,                  1.664,                 3.1231,                0.98537,                      0,                      0,                      0,                      0,                 1.4386,                 3.3128,                0.99095,             0.00016396,             0.00016396,             0.00016396
                     10,                 1.2915,                 2.8419,                0.96612,                      0,                      0,                      0,                      0,                 1.4496,                  3.296,                0.99722,              0.0001802,              0.0001802,              0.0001802
                     11,                 1.2046,                 2.7342,                0.98113,                      0,                      0,                      0,                      0,                 1.4775,                 3.2753,                  1.013,             0.00019604,             0.00019604,             0.00019604
                     12,                 2.2204,                  2.532,                 1.0558,                      0,                      0,                      0,                      0,                 1.4871,                 3.2413,                  1.025,             0.00021149,             0.00021149,             0.00021149
                     13,                 1.2873,                 2.4076,                0.92888,                      0,                      0,                      0,                      0,                 1.4764,                 3.2128,                 1.0269,             0.00022654,             0.00022654,             0.00022654
                     14,                 1.9442,                  2.067,                 1.0185,                      0,                      0,                      0,                      0,                 1.5115,                 3.1841,                 1.0437,             0.00024119,             0.00024119,             0.00024119
                     15,                 1.5469,                 1.5562,                0.92218,                      0,                      0,                      0,                      0,                 1.5468,                 3.1293,                 1.0552,             0.00025545,             0.00025545,             0.00025545
                     16,                 1.5364,                 1.5712,                0.93102,                      0,                      0,                      0,                      0,                 1.5689,                 3.0027,                 1.0419,             0.00026931,             0.00026931,             0.00026931
                     17,                 1.3709,                 1.2822,                0.85164,                      0,                      0,                      0,                      0,                 1.5689,                 3.0027,                 1.0419,             0.00028278,             0.00028278,             0.00028278
                     18,                 1.2556,                 1.7201,                0.94088,                      0,                      0,                      0,                      0,                 1.6411,                 2.8316,                 1.0579,             0.00029585,             0.00029585,             0.00029585
                     19,                 1.3554,                 1.3127,                0.89404,                      0,                      0,                      0,                      0,                 1.6411,                 2.8316,                 1.0579,             0.00030852,             0.00030852,             0.00030852
                     20,                 1.4912,                 1.4354,                0.94791,                      0,                      0,                      0,                      0,                 1.7512,                 2.6431,                 1.0909,              0.0003208,              0.0003208,              0.0003208
                     21,                 2.2884,                 1.6892,                0.97622,                      0,                      0,                      0,                      0,                 1.7512,                 2.6431,                 1.0909,             0.00033268,             0.00033268,             0.00033268
                     22,                 1.3245,                 1.4502,                0.92988,                      0,                      0,                      0,                      0,                 1.8259,                 2.4873,                 1.1282,             0.00034417,             0.00034417,             0.00034417
                     23,                 1.5647,                 1.2059,                0.88743,                      0,                      0,                      0,                      0,                 1.8259,                 2.4873,                 1.1282,             0.00035526,             0.00035526,             0.00035526
                     24,                 1.4984,                 1.4253,                0.91432,                      0,                      0,                      0,                      0,                 1.8409,                  2.404,                 1.1359,             0.00036595,             0.00036595,             0.00036595
                     25,                 1.2818,                 1.2206,                0.91002,                      0,                      0,                      0,                      0,                 1.8409,                  2.404,                 1.1359,             0.00037625,             0.00037625,             0.00037625
                     26,                 1.2057,                 1.1312,                0.93654,                      0,                      0,                      0,                      0,                 1.8096,                 2.3172,                  1.152,             0.00038615,             0.00038615,             0.00038615
                     27,                 1.4954,                 1.2013,                0.91339,                      0,                      0,                      0,                      0,                 1.8096,                 2.3172,                  1.152,             0.00039566,             0.00039566,             0.00039566
                     28,                 1.2503,                 1.1334,                0.90987,                      0,                      0,                      0,                      0,                 1.6914,                 2.2484,                 1.1163,             0.00040477,             0.00040477,             0.00040477
                     29,                 1.9213,                   1.17,                 0.9479,                      0,                      0,                      0,                      0,                 1.6914,                 2.2484,                 1.1163,             0.00041348,             0.00041348,             0.00041348
                     30,                 1.2287,                 1.0518,                0.94021,                      0,                      0,                      0,                      0,                 1.6396,                 2.0986,                 1.0997,              0.0004218,              0.0004218,              0.0004218
                     31,                  1.403,                 1.1118,                0.88346,                      0,                      0,                      0,                      0,                 1.6396,                 2.0986,                 1.0997,             0.00042972,             0.00042972,             0.00042972
                     32,                 1.1078,                 1.0506,                0.89595,                      0,                      0,                      0,                      0,                 1.5158,                 1.8606,                 1.0459,             0.00043725,             0.00043725,             0.00043725
                     33,                 1.1747,                0.81554,                0.89525,                      0,                      0,                      0,                      0,                 1.5158,                 1.8606,                 1.0459,             0.00044438,             0.00044438,             0.00044438
                     34,                   1.25,                 0.8256,                0.96421,                      1,                0.05714,                0.52856,                0.39571,                 1.5212,                 1.6973,                 1.0553,             0.00045111,             0.00045111,             0.00045111
                     35,                 1.6291,                  1.042,                0.90731,                      1,                0.05714,                0.52856,                0.39571,                 1.5212,                 1.6973,                 1.0553,             0.00045745,             0.00045745,             0.00045745
                     36,                 1.2877,                0.92377,                0.99133,                      1,                0.08571,                0.54284,                0.38068,                 1.6351,                 1.6137,                 1.1125,             0.00046339,             0.00046339,             0.00046339
                     37,                 1.2567,                0.86749,                0.96556,                      1,                0.08571,                0.54284,                0.38068,                 1.6351,                 1.6137,                 1.1125,             0.00046894,             0.00046894,             0.00046894
                     38,                 1.5305,                0.93838,                  1.003,                      1,                0.25714,                0.62856,                0.35052,                 1.7438,                 1.4397,                 1.1695,             0.00047409,             0.00047409,             0.00047409
                     39,                  1.569,                 1.0902,                0.92679,                      1,                0.25714,                0.62856,                0.35052,                 1.7438,                 1.4397,                 1.1695,             0.00047884,             0.00047884,             0.00047884
                     40,                 1.0548,                0.94898,                0.92311,                      1,                0.31429,                0.65713,                0.33594,                  1.887,                 1.4114,                 1.2112,              0.0004832,              0.0004832,              0.0004832
                     41,                 1.3633,                0.95666,                0.92237,                      1,                0.31429,                0.65713,                0.33594,                  1.887,                 1.4114,                 1.2112,             0.00048716,             0.00048716,             0.00048716
                     42,                 1.1998,                0.75924,                0.97547,                      1,                0.28571,                0.64284,                0.32073,                 1.9028,                  1.488,                 1.1835,             0.00049073,             0.00049073,             0.00049073
                     43,                 1.3568,                0.99728,                0.97152,                      1,                0.28571,                0.64284,                0.32073,                 1.9028,                  1.488,                 1.1835,              0.0004939,              0.0004939,              0.0004939
                     44,                 1.2639,                0.87307,                0.88397,                      1,                0.25714,                0.62856,                0.34411,                 1.7932,                 1.5794,                 1.1278,             0.00049667,             0.00049667,             0.00049667
                     45,                  1.274,                0.92142,                0.91457,                      1,                0.25714,                0.62856,                0.34411,                 1.7932,                 1.5794,                 1.1278,             0.00049905,             0.00049905,             0.00049905
                     46,                 1.2497,                0.84909,                0.93015,                      1,                    0.2,                    0.6,                0.36088,                 1.6876,                 1.6923,                 1.0892,             0.00050103,             0.00050103,             0.00050103
                     47,                 1.4968,                0.93548,                0.92742,                      1,                    0.2,                    0.6,                0.36088,                 1.6876,                 1.6923,                 1.0892,             0.00050262,             0.00050262,             0.00050262
