                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6339,                  3.689,                 1.4539,                      0,                      0,                      0,                      0,                 1.6927,                 3.5613,                0.98585,                      0,                      0,                      0
                      1,                 2.7643,                  3.708,                 1.4502,                      0,                      0,                      0,                      0,                 1.7043,                 3.5573,                0.98548,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      2,                 2.0571,                 3.6308,                 1.4165,                      0,                      0,                      0,                      0,                 1.7013,                 3.5533,                0.98699,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      3,                 2.8116,                 3.6648,                 1.4221,                      0,                      0,                      0,                      0,                  1.742,                   3.55,                0.99241,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      4,                 2.5074,                 3.6244,                 1.3325,                      0,                      0,                      0,                      0,                 1.8118,                 3.5413,                 1.0085,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      5,                 1.7186,                 3.5785,                 1.1704,                      0,                      0,                      0,                      0,                 1.8333,                 3.5265,                 1.0171,              9.505e-05,              9.505e-05,              9.505e-05
                      6,                 1.5816,                 3.4726,                 1.1366,                      0,                      0,                      0,                      0,                 1.8734,                 3.5138,                 1.0248,             0.00011287,             0.00011287,             0.00011287
                      7,                  2.614,                  3.443,                 1.2077,                      0,                      0,                      0,                      0,                 1.9639,                 3.4773,                 1.0519,              0.0001303,              0.0001303,              0.0001303
                      8,                 2.2005,                 3.3343,                 1.1082,                      0,                      0,                      0,                      0,                 2.0492,                 3.4547,                 1.0782,             0.00014733,             0.00014733,             0.00014733
                      9,                 1.7244,                 3.0845,                 1.0061,                      0,                      0,                      0,                      0,                 2.1936,                 3.4252,                 1.1108,             0.00016396,             0.00016396,             0.00016396
                     10,                 1.6184,                 3.0281,                 1.0162,                      0,                      0,                      0,                      0,                 2.4074,                 3.4042,                 1.1802,              0.0001802,              0.0001802,              0.0001802
                     11,                 1.5243,                 2.7371,                 1.0189,                      0,                      0,                      0,                      0,                 2.5613,                 3.3722,                  1.252,             0.00019604,             0.00019604,             0.00019604
                     12,                 1.8536,                 2.4561,                0.97397,                      0,                      0,                      0,                      0,                 2.7796,                 3.3542,                 1.3688,             0.00021149,             0.00021149,             0.00021149
                     13,                 1.6099,                 2.2691,                 1.0145,                      0,                      0,                      0,                      0,                 2.8685,                  3.305,                 1.4427,             0.00022654,             0.00022654,             0.00022654
                     14,                  1.995,                 1.9213,                 1.0703,                      0,                      0,                      0,                      0,                 2.8797,                 3.2196,                 1.4596,             0.00024119,             0.00024119,             0.00024119
                     15,                 1.4346,                 1.5624,                0.96241,                      0,                      0,                      0,                      0,                 2.7797,                 3.1452,                 1.4076,             0.00025545,             0.00025545,             0.00025545
                     16,                 2.0369,                 1.6749,                  0.964,                      0,                      0,                      0,                      0,                 2.7075,                 3.0914,                 1.3671,             0.00026931,             0.00026931,             0.00026931
                     17,                 1.6469,                 1.2571,                 0.9379,                      0,                      0,                      0,                      0,                 2.7075,                 3.0914,                 1.3671,             0.00028278,             0.00028278,             0.00028278
                     18,                 1.4917,                 1.7469,                0.97485,                      0,                      0,                      0,                      0,                  2.772,                 3.0523,                 1.3821,             0.00029585,             0.00029585,             0.00029585
                     19,                 1.6527,                 1.3359,                  1.004,                      0,                      0,                      0,                      0,                  2.772,                 3.0523,                 1.3821,             0.00030852,             0.00030852,             0.00030852
                     20,                 1.6446,                 1.4004,                0.95868,                      0,                      0,                      0,                      0,                 2.9278,                 3.0461,                 1.4464,              0.0003208,              0.0003208,              0.0003208
                     21,                 2.8487,                 1.6442,                 1.0669,                      0,                      0,                      0,                      0,                 2.9278,                 3.0461,                 1.4464,             0.00033268,             0.00033268,             0.00033268
                     22,                 1.6839,                 1.3614,                0.96986,                      0,                      0,                      0,                      0,                 3.0726,                  3.067,                  1.534,             0.00034417,             0.00034417,             0.00034417
                     23,                 1.4782,                 1.3593,                0.94091,                      0,                      0,                      0,                      0,                 3.0726,                  3.067,                  1.534,             0.00035526,             0.00035526,             0.00035526
                     24,                  1.506,                  1.339,                0.92474,                      0,                      0,                      0,                      0,                 3.3216,                 3.0529,                 1.6688,             0.00036595,             0.00036595,             0.00036595
                     25,                 1.6804,                 1.1754,                0.93677,                      0,                      0,                      0,                      0,                 3.3216,                 3.0529,                 1.6688,             0.00037625,             0.00037625,             0.00037625
                     26,                 1.5541,                 1.2078,                  1.045,                      0,                      0,                      0,                      0,                 3.4405,                 3.0459,                 1.7137,             0.00038615,             0.00038615,             0.00038615
                     27,                 1.8324,                 1.2601,                0.95912,                      0,                      0,                      0,                      0,                 3.4405,                 3.0459,                 1.7137,             0.00039566,             0.00039566,             0.00039566
