                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6313,                 3.6376,                 1.1867,                0.02389,                0.18971,                0.01551,                0.00779,                 1.6949,                 3.5515,                 1.1035,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.7925,                  3.635,                 1.1717,                0.05352,                  0.425,                0.04511,                0.02332,                 1.4526,                 3.4963,                 1.0152,             5.9881e-05,             5.9881e-05,             5.9881e-05
                      2,                 1.5386,                 3.4934,                 1.1221,                0.11185,                0.88824,                0.16986,                0.09426,                 1.2637,                 3.3678,                0.93507,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      3,                 1.4637,                 3.3683,                 1.0189,                0.12444,                0.98824,                0.19729,                0.11123,                 1.2307,                 3.3137,                0.91665,             0.00013917,             0.00013917,             0.00013917
                      4,                  1.225,                 2.9688,                0.97181,                  0.125,                0.99265,                0.19724,                0.10467,                 1.2371,                 3.2871,                0.91489,             0.00017857,             0.00017857,             0.00017857
                      5,                  1.495,                  2.432,                0.98568,                0.12519,                0.99412,                 0.2285,                0.10566,                 1.2382,                 3.2347,                0.91691,             0.00021782,             0.00021782,             0.00021782
                      6,                  1.803,                 2.2195,                0.98079,                0.12278,                  0.975,                0.23388,                0.10194,                  1.235,                 3.1145,                0.92254,             0.00025691,             0.00025691,             0.00025691
                      7,                 1.3439,                 1.7115,                0.95581,                0.12537,                0.99559,                0.84967,                0.45945,                 1.1937,                 2.7967,                0.89771,             0.00029584,             0.00029584,             0.00029584
                      8,                 1.2719,                 1.3437,                0.92456,                0.12556,                0.99706,                0.93126,                0.56307,                 1.1557,                 2.5969,                0.87971,             0.00033461,             0.00033461,             0.00033461
                      9,                 1.3131,                 1.3478,                0.93248,                0.85219,                0.95808,                0.97008,                0.61123,                 1.1347,                 2.3953,                0.86809,             0.00037323,             0.00037323,             0.00037323
                     10,                 1.3723,                 1.0994,                0.93187,                0.98095,                0.60592,                0.97566,                0.61927,                 1.1423,                 2.2062,                0.87051,             0.00041168,             0.00041168,             0.00041168
                     11,                 1.3086,                   1.11,                0.98266,                0.97394,                0.71459,                0.97316,                 0.6042,                 1.1552,                 2.0289,                0.87381,             0.00044998,             0.00044998,             0.00044998
                     12,                 1.2651,                0.95429,                0.92017,                0.97246,                0.77889,                0.97163,                0.61152,                 1.1505,                 1.8763,                0.87511,             0.00048812,             0.00048812,             0.00048812
                     13,                 1.2159,                0.97209,                0.89633,                 0.9709,                0.83418,                0.97438,                0.62451,                 1.1581,                 1.7598,                0.88415,              0.0005261,              0.0005261,              0.0005261
                     14,                 1.3462,                0.96089,                 1.0348,                0.95869,                 0.8531,                0.96684,                0.60757,                 1.2048,                 1.6798,                0.90437,             0.00056392,             0.00056392,             0.00056392
                     15,                 1.4139,                0.96764,                0.93569,                0.95499,                 0.8736,                 0.9677,                0.61324,                  1.202,                  1.595,                0.90106,             0.00060159,             0.00060159,             0.00060159
                     16,                 1.2496,                0.82412,                0.89494,                0.95278,                0.87941,                0.96331,                0.62575,                 1.1772,                 1.5184,                0.89504,             0.00063909,             0.00063909,             0.00063909
                     17,                 1.1587,                0.75985,                0.91095,                0.93414,                0.87608,                0.95069,                0.63319,                 1.1381,                  1.461,                0.88653,             0.00067644,             0.00067644,             0.00067644
                     18,                 1.1678,                0.82988,                0.89697,                0.93094,                0.87228,                0.94639,                0.62754,                 1.1471,                 1.4162,                0.88959,             0.00071363,             0.00071363,             0.00071363
                     19,                 1.2601,                0.80396,                0.93186,                0.94624,                0.88013,                0.94901,                0.62943,                  1.166,                 1.3565,                0.89719,             0.00075066,             0.00075066,             0.00075066
                     20,                 1.2683,                 0.7727,                0.95927,                0.94811,                0.90294,                0.95875,                0.63118,                 1.1618,                 1.2619,                0.90689,             0.00078753,             0.00078753,             0.00078753
                     21,                 1.2148,                 1.0414,                0.99441,                0.94689,                0.91763,                0.96696,                0.65258,                 1.1243,                 1.1909,                 0.9039,             0.00082424,             0.00082424,             0.00082424
                     22,                 1.2111,                0.75772,                 0.9127,                0.93696,                0.90882,                 0.9671,                0.64162,                 1.1361,                 1.1868,                0.89828,              0.0008608,              0.0008608,              0.0008608
                     23,                 1.2473,                 0.7897,                0.91452,                0.92838,                0.91497,                0.96041,                0.63262,                 1.1617,                 1.1719,                0.89914,             0.00089719,             0.00089719,             0.00089719
                     24,                 1.1644,                0.96271,                0.92193,                0.93077,                0.90943,                0.96119,                0.64876,                 1.1251,                 1.1601,                0.89478,             0.00093343,             0.00093343,             0.00093343
                     25,                 1.1696,                0.82699,                0.89516,                0.93235,                0.89265,                0.95918,                0.61232,                 1.2237,                 1.1719,                0.92631,             0.00096951,             0.00096951,             0.00096951
                     26,                 1.1414,                 0.7452,                0.94351,                0.94445,                0.87509,                 0.9537,                0.60695,                 1.2325,                 1.2079,                0.93693,              0.0010054,              0.0010054,              0.0010054
                     27,                 1.2007,                0.77915,                0.90886,                0.94445,                0.87509,                 0.9537,                0.60695,                 1.2325,                 1.2079,                0.93693,              0.0010412,              0.0010412,              0.0010412
                     28,                 1.1688,                0.72508,                 0.8978,                0.95469,                0.86752,                0.94644,                0.64101,                 1.1245,                 1.2144,                0.91309,              0.0010768,              0.0010768,              0.0010768
                     29,                 1.3048,                0.83415,                 0.9014,                0.95243,                0.86471,                0.94903,                0.65324,                 1.1004,                 1.2077,                0.91061,              0.0011122,              0.0011122,              0.0011122
                     30,                 1.0907,                0.74621,                0.91077,                0.95243,                0.86471,                0.94903,                0.65324,                 1.1004,                 1.2077,                0.91061,              0.0011475,              0.0011475,              0.0011475
                     31,                 1.1496,                0.69391,                0.89872,                0.93921,                0.89412,                0.96415,                0.64697,                 1.1377,                 1.1085,                0.91912,              0.0011827,              0.0011827,              0.0011827
                     32,                 1.1108,                0.71567,                0.96498,                0.96038,                0.94118,                 0.9851,                0.68893,                 1.0545,                 0.9247,                0.88982,              0.0012176,              0.0012176,              0.0012176
                     33,                 1.2737,                0.77077,                0.92396,                0.96038,                0.94118,                 0.9851,                0.68893,                 1.0545,                 0.9247,                0.88982,              0.0012524,              0.0012524,              0.0012524
                     34,                 1.1892,                0.77332,                0.92706,                 0.9852,                0.97901,                0.99162,                0.70689,                 1.0594,                0.74069,                0.88408,              0.0012871,              0.0012871,              0.0012871
                     35,                  1.258,                0.74847,                0.94398,                0.98677,                0.98701,                0.99234,                0.71838,                 1.0426,                0.69649,                0.88303,              0.0013216,              0.0013216,              0.0013216
                     36,                  1.118,                0.72947,                0.90708,                0.98677,                0.98701,                0.99234,                0.71838,                 1.0426,                0.69649,                0.88303,              0.0013559,              0.0013559,              0.0013559
                     37,                 1.1804,                0.71073,                0.89372,                 0.9869,                0.99694,                 0.9927,                0.65694,                 1.1808,                 0.7246,                0.92282,              0.0013901,              0.0013901,              0.0013901
                     38,                 1.2819,                0.81834,                0.98255,                0.98253,                0.99231,                0.99221,                0.64008,                 1.2096,                0.72845,                0.93515,              0.0014241,              0.0014241,              0.0014241
                     39,                 1.2373,                 0.7426,                0.94038,                0.98253,                0.99231,                0.99221,                0.64008,                 1.2096,                0.72845,                0.93515,               0.001458,               0.001458,               0.001458
                     40,                 1.2038,                0.75309,                0.93188,                0.98335,                0.99265,                0.99192,                0.68697,                   1.11,                0.70521,                0.90305,              0.0014917,              0.0014917,              0.0014917
                     41,                 1.1559,                0.69966,                0.91624,                0.98409,                0.99559,                0.99202,                0.69498,                 1.0654,                0.68441,                0.88546,              0.0015252,              0.0015252,              0.0015252
                     42,                 1.0713,                0.70384,                0.92331,                0.98409,                0.99559,                0.99202,                0.69498,                 1.0654,                0.68441,                0.88546,              0.0015586,              0.0015586,              0.0015586
