                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.033,                  3.662,                  1.337,                      0,                      0,                      0,                      0,                 2.0877,                 3.5621,                 1.1217,                      0,                      0,                      0
                      1,                 1.8655,                 3.6433,                 1.3232,                      0,                      0,                      0,                      0,                 2.0401,                 3.5621,                 1.1072,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      2,                 1.9076,                 3.6469,                 1.2955,                      0,                      0,                      0,                      0,                 1.9401,                 3.5436,                 1.0853,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      3,                 1.8434,                 3.6235,                 1.2165,                      0,                      0,                      0,                      0,                 1.8298,                 3.5131,                 1.0561,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      4,                 1.9411,                 3.6145,                 1.1933,                      0,                      0,                      0,                      0,                 1.6885,                 3.4345,                 1.0184,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      5,                 1.4988,                 3.5203,                 1.1264,                      0,                      0,                      0,                      0,                 1.5727,                 3.3678,                0.97414,              9.505e-05,              9.505e-05,              9.505e-05
                      6,                 1.5687,                  3.447,                 1.0691,                      0,                      0,                      0,                      0,                 1.5082,                 3.3415,                0.95653,             0.00011287,             0.00011287,             0.00011287
                      7,                 1.6331,                 3.2971,                 1.0818,                      0,                      0,                      0,                      0,                 1.3986,                 3.3176,                0.93364,              0.0001303,              0.0001303,              0.0001303
                      8,                 1.4672,                 3.2043,                 0.9933,                      0,                      0,                      0,                      0,                 1.3301,                  3.292,                0.92497,             0.00014733,             0.00014733,             0.00014733
                      9,                 1.2605,                 3.0733,                0.97409,                      0,                      0,                      0,                      0,                  1.322,                 3.2799,                0.92329,             0.00016396,             0.00016396,             0.00016396
