                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9544,                 3.6599,                 1.1712,                0.00667,                0.04082,                0.00392,                0.00291,                 1.5793,                 3.5958,                 1.0825,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.6482,                 3.5356,                 1.1714,                   0.06,                0.36735,                0.04412,                0.02443,                 1.3728,                 3.5304,                 1.0067,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      2,                 1.5397,                 3.4667,                 1.1285,                0.13667,                0.83673,                0.20683,                0.11772,                 1.1619,                 3.4152,                0.93322,              9.934e-05,              9.934e-05,              9.934e-05
                      3,                 1.5338,                 3.3824,                  1.016,                0.16333,                      1,                 0.2734,                0.14937,                 1.1534,                 3.3669,                 0.9017,             0.00013861,             0.00013861,             0.00013861
                      4,                 1.2968,                 3.0292,                 1.0395,                0.16333,                      1,                0.25579,                 0.1589,                 1.1328,                 3.2989,                0.88786,             0.00017762,             0.00017762,             0.00017762
                      5,                 1.7936,                 2.6465,                 1.0343,                0.16333,                      1,                0.29338,                0.14988,                 1.1223,                 3.2481,                0.87597,             0.00021637,             0.00021637,             0.00021637
                      6,                 1.4218,                 2.1081,                0.95579,                0.16333,                      1,                0.38257,                0.16877,                 1.2057,                 3.1251,                0.88835,             0.00025485,             0.00025485,             0.00025485
                      7,                 1.6412,                 1.8003,                 1.0704,                0.16333,                      1,                0.93297,                 0.5895,                 1.1795,                 2.7174,                0.86693,             0.00029307,             0.00029307,             0.00029307
                      8,                 1.4288,                 1.5386,                0.98064,                0.16333,                      1,                0.97757,                0.58736,                 1.2006,                 2.5461,                 0.8684,             0.00033102,             0.00033102,             0.00033102
                      9,                 1.3208,                  1.321,                 1.0241,                0.85253,                0.97959,                 0.9826,                0.55539,                 1.2336,                 2.4018,                0.86793,             0.00036871,             0.00036871,             0.00036871
                     10,                 1.5838,                 1.4272,                 1.0991,                0.99971,                0.81633,                0.98303,                 0.5312,                 1.2821,                 2.2098,                0.87822,             0.00040614,             0.00040614,             0.00040614
                     11,                  1.205,                 1.2308,                0.91626,                      1,                0.83614,                0.98403,                0.57821,                 1.2298,                 2.0039,                0.87829,              0.0004433,              0.0004433,              0.0004433
