                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9571,                 3.6614,                 1.1733,                   0.01,                0.08333,                0.00558,                  0.003,                 1.7855,                 3.5919,                  1.016,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.6647,                 3.5388,                 1.1859,                   0.03,                   0.25,                0.02199,                 0.0109,                 1.6467,                 3.5487,                 0.9769,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      2,                 1.5384,                 3.4667,                 1.1299,                0.07667,                0.63889,                0.07741,                0.04635,                 1.2627,                  3.453,                0.90877,              9.934e-05,              9.934e-05,              9.934e-05
                      3,                 1.5219,                 3.3848,                 1.0151,                0.11333,                0.94444,                0.19944,                0.13159,                 1.1378,                 3.3449,                0.87722,             0.00013861,             0.00013861,             0.00013861
                      4,                 1.2854,                 3.0287,                 1.0366,                0.11667,                0.97222,                0.19533,                0.12865,                 1.1637,                 3.2754,                0.86455,             0.00017762,             0.00017762,             0.00017762
                      5,                 1.8213,                  2.657,                 1.0481,                0.11667,                0.97222,                0.19626,                0.12197,                 1.1789,                 3.2531,                0.85904,             0.00021637,             0.00021637,             0.00021637
                      6,                  1.416,                 2.1077,                 0.9532,                   0.12,                      1,                0.22303,                0.08926,                 1.1955,                 3.2571,                0.87269,             0.00025485,             0.00025485,             0.00025485
                      7,                 1.6181,                 1.8105,                 1.0706,                   0.12,                      1,                0.41087,                0.22772,                 1.1816,                  3.024,                0.85047,             0.00029307,             0.00029307,             0.00029307
                      8,                 1.2506,                 1.6985,                 0.9738,                   0.12,                      1,                 0.5988,                 0.3764,                 1.1641,                 2.8928,                0.85029,             0.00033102,             0.00033102,             0.00033102
                      9,                 1.2908,                 1.3207,                 1.0122,                   0.12,                      1,                0.79643,                0.51523,                 1.1885,                 2.7962,                0.86205,             0.00036871,             0.00036871,             0.00036871
                     10,                 1.5657,                 1.4304,                 1.1099,                   0.12,                      1,                0.87495,                0.55348,                 1.2465,                 2.7075,                0.87285,             0.00040614,             0.00040614,             0.00040614
