                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.783,                 3.6447,                 1.1475,                0.02333,                0.24138,                0.01726,                0.00745,                 1.6659,                 3.5564,                0.98596,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.5885,                 3.4557,                  1.139,                   0.06,                0.62069,                0.07869,                0.03295,                  1.554,                 3.4758,                0.94007,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      2,                 1.5907,                 3.5112,                  1.153,                0.09333,                0.96552,                0.17671,                 0.0789,                 1.4894,                 3.4139,                  0.911,              9.934e-05,              9.934e-05,              9.934e-05
                      3,                 1.4539,                 3.3837,                 1.0345,                0.09333,                0.96552,                0.20348,                0.10444,                 1.5356,                 3.3841,                0.92726,             0.00013861,             0.00013861,             0.00013861
                      4,                 1.2951,                 2.8629,                0.99402,                0.09667,                      1,                0.25297,                0.13525,                 1.5173,                  3.309,                0.92251,             0.00017762,             0.00017762,             0.00017762
                      5,                  1.657,                  2.568,                 1.0098,                0.09667,                      1,                0.26063,                0.14747,                 1.3533,                 3.2341,                 0.8926,             0.00021637,             0.00021637,             0.00021637
                      6,                 1.6264,                 2.0308,                 1.0351,                0.09333,                0.96552,                0.23837,                0.12598,                 1.2618,                 3.1808,                0.87628,             0.00025485,             0.00025485,             0.00025485
                      7,                 1.7675,                 1.9917,                 1.2351,                0.09333,                0.96552,                0.71858,                0.37961,                 1.3674,                 3.0112,                0.88453,             0.00029307,             0.00029307,             0.00029307
                      8,                 1.3622,                 1.7863,                 1.0403,                0.09333,                0.96552,                 0.8808,                0.46887,                 1.3521,                 2.9346,                0.88064,             0.00033102,             0.00033102,             0.00033102
                      9,                 1.4312,                   1.47,                 1.0838,                0.09667,                      1,                 0.9536,                0.52516,                 1.3018,                 2.8363,                0.86467,             0.00036871,             0.00036871,             0.00036871
                     10,                 1.2475,                 1.2584,                0.91244,                0.09667,                      1,                0.95125,                0.52761,                 1.2695,                 2.7567,                0.85581,             0.00040614,             0.00040614,             0.00040614
                     11,                 1.2281,                 1.1583,                0.93481,                0.26833,                0.96552,                0.94647,                0.50648,                 1.2782,                 2.7175,                0.85821,              0.0004433,              0.0004433,              0.0004433
                     12,                 1.2185,                0.99986,                0.96152,                0.76969,                0.96552,                0.93856,                0.49749,                 1.3068,                  2.716,                0.86288,              0.0004802,              0.0004802,              0.0004802
                     13,                 1.2334,                 1.2746,                 0.9682,                0.19858,                0.89655,                0.85749,                0.43701,                 1.3546,                 2.7478,                0.87348,             0.00051683,             0.00051683,             0.00051683
                     14,                 1.5553,                 1.1017,                0.92586,                0.74054,                0.93103,                0.91928,                0.45008,                 1.3766,                 2.6807,                0.88136,              0.0005532,              0.0005532,              0.0005532
                     15,                  1.187,                0.92738,                0.89642,                0.99621,                0.55172,                0.93862,                0.51864,                  1.351,                 2.4319,                0.86658,             0.00058931,             0.00058931,             0.00058931
                     16,                   1.25,                0.90249,                0.94404,                0.95135,                0.58621,                0.91187,                0.53913,                 1.3282,                 2.1659,                0.86146,             0.00062515,             0.00062515,             0.00062515
                     17,                 1.3164,                0.91921,                 0.8992,                      1,                0.82176,                0.94913,                0.53683,                 1.3769,                 1.8274,                0.87075,             0.00066073,             0.00066073,             0.00066073
                     18,                  1.122,                0.83925,                0.92031,                0.95937,                0.81448,                0.95633,                0.59733,                 1.3377,                 1.5469,                0.87029,             0.00069604,             0.00069604,             0.00069604
                     19,                 1.0845,                0.84584,                0.94284,                 0.9625,                0.88538,                0.95562,                0.64189,                 1.2763,                 1.3951,                0.86304,             0.00073109,             0.00073109,             0.00073109
                     20,                 1.2024,                0.83873,                0.89133,                 0.9628,                0.89258,                0.95815,                0.63657,                 1.3056,                 1.3536,                0.87333,             0.00076588,             0.00076588,             0.00076588
                     21,                 1.5076,                0.97242,                0.90334,                 0.9213,                0.89655,                0.95072,                0.62981,                 1.2748,                 1.3602,                0.87158,              0.0008004,              0.0008004,              0.0008004
                     22,                  1.068,                0.89345,                0.97742,                0.91911,                0.89655,                0.95045,                0.65645,                 1.2096,                 1.3361,                0.86519,             0.00083466,             0.00083466,             0.00083466
                     23,                 1.2072,                 1.3346,                 1.0783,                0.96386,                0.92003,                0.95981,                0.64375,                  1.264,                 1.2207,                0.86915,             0.00086865,             0.00086865,             0.00086865
                     24,                 1.1841,                 0.7338,                0.92005,                      1,                0.93553,                0.96793,                0.53167,                 1.5484,                 1.1825,                0.91591,             0.00090238,             0.00090238,             0.00090238
                     25,                 1.0922,                0.86594,                0.95458,                0.96152,                0.93103,                0.96489,                 0.5202,                 1.5705,                 1.1399,                0.91436,             0.00093585,             0.00093585,             0.00093585
                     26,                 1.1039,                0.71624,                  0.932,                0.92562,                0.93103,                0.96253,                0.60966,                 1.3431,                 1.0403,                0.87284,             0.00096905,             0.00096905,             0.00096905
                     27,                 1.0641,                0.81467,                0.90314,                0.92562,                0.93103,                0.96253,                0.60966,                 1.3431,                 1.0403,                0.87284,               0.001002,               0.001002,               0.001002
                     28,                 1.0338,                0.69413,                0.92672,                0.97706,                0.89655,                0.96701,                0.66374,                 1.2074,                 1.0355,                0.85493,              0.0010347,              0.0010347,              0.0010347
                     29,                 1.1786,                0.81096,                0.92557,                  0.944,                0.93103,                0.96698,                0.69522,                 1.1701,                 1.0533,                0.85069,              0.0010671,              0.0010671,              0.0010671
                     30,                 1.0785,                0.69935,                0.91626,                  0.944,                0.93103,                0.96698,                0.69522,                 1.1701,                 1.0533,                0.85069,              0.0010992,              0.0010992,              0.0010992
                     31,                 1.1119,                 1.3299,                 0.9704,                0.93287,                0.95863,                 0.9719,                 0.6659,                 1.2832,                 1.0055,                0.86694,              0.0011311,              0.0011311,              0.0011311
                     32,                 1.2312,                0.78207,                0.93066,                0.95686,                0.96552,                0.98792,                0.57928,                 1.5356,                 0.8971,                0.91545,              0.0011627,              0.0011627,              0.0011627
                     33,                 1.1193,                0.77467,                0.93638,                0.95686,                0.96552,                0.98792,                0.57928,                 1.5356,                 0.8971,                0.91545,              0.0011941,              0.0011941,              0.0011941
                     34,                 1.1188,                0.68618,                0.93739,                0.99674,                0.96552,                  0.994,                0.59974,                 1.4231,                0.78268,                0.88574,              0.0012252,              0.0012252,              0.0012252
                     35,                 1.2396,                0.82612,                0.91379,                      1,                0.99176,                  0.995,                0.58382,                 1.4077,                0.81035,                0.87345,               0.001256,               0.001256,               0.001256
                     36,                 1.1438,                0.74629,                0.91521,                      1,                0.99176,                  0.995,                0.58382,                 1.4077,                0.81035,                0.87345,              0.0012866,              0.0012866,              0.0012866
                     37,                 1.0593,                0.83036,                0.97645,                0.99112,                      1,                  0.995,                0.62454,                 1.3059,                0.76105,                0.86191,              0.0013169,              0.0013169,              0.0013169
                     38,                 1.1548,                0.70045,                0.90058,                0.99423,                      1,                  0.995,                0.65932,                 1.2358,                0.76367,                0.85729,              0.0013469,              0.0013469,              0.0013469
                     39,                  1.195,                0.82008,                0.98778,                0.99423,                      1,                  0.995,                0.65932,                 1.2358,                0.76367,                0.85729,              0.0013767,              0.0013767,              0.0013767
                     40,                 1.4425,                0.90333,                0.89475,                0.99653,                      1,                  0.995,                 0.6294,                 1.3391,                  0.812,                0.87364,              0.0014062,              0.0014062,              0.0014062
                     41,                 1.1496,                0.68947,                0.89056,                0.99635,                      1,                  0.995,                0.67191,                  1.275,                0.78938,                0.86598,              0.0014354,              0.0014354,              0.0014354
                     42,                 1.1266,                0.69998,                0.89825,                0.99635,                      1,                  0.995,                0.67191,                  1.275,                0.78938,                0.86598,              0.0014644,              0.0014644,              0.0014644
                     43,                 1.3222,                0.76306,                0.88863,                0.99559,                      1,                  0.995,                0.67506,                 1.2377,                0.72963,                 0.8708,              0.0014931,              0.0014931,              0.0014931
                     44,                 1.0839,                0.71656,                0.91234,                0.99559,                      1,                  0.995,                0.67506,                 1.2377,                0.72963,                 0.8708,              0.0015215,              0.0015215,              0.0015215
                     45,                 1.0955,                0.70666,                0.89835,                0.99612,                      1,                  0.995,                0.62994,                  1.304,                 0.7403,                0.88477,              0.0015497,              0.0015497,              0.0015497
                     46,                 1.1583,                0.80234,                0.91405,                0.99612,                      1,                  0.995,                0.62994,                  1.304,                 0.7403,                0.88477,              0.0015777,              0.0015777,              0.0015777
                     47,                 1.3933,                0.77388,                0.88927,                0.99544,                      1,                  0.995,                0.63852,                 1.2522,                0.78304,                0.86733,              0.0016053,              0.0016053,              0.0016053
                     48,                 1.6778,                 2.1933,                 1.2693,                0.99544,                      1,                  0.995,                0.63852,                 1.2522,                0.78304,                0.86733,              0.0016327,              0.0016327,              0.0016327
                     49,                 1.1495,                0.79745,                0.88066,                0.96564,                      1,                  0.995,                0.63576,                 1.2419,                0.77708,                0.85857,              0.0016598,              0.0016598,              0.0016598
                     50,                 1.0682,                0.71635,                0.91127,                0.96564,                      1,                  0.995,                0.63576,                 1.2419,                0.77708,                0.85857,                0.00167,                0.00167,                0.00167
                     51,                 1.3058,                 0.7308,                0.88656,                0.96368,                      1,                  0.993,                0.62174,                 1.3088,                0.75249,                0.86468,                0.00167,                0.00167,                0.00167
                     52,                 1.1682,                0.75165,                0.90197,                0.96368,                      1,                  0.993,                0.62174,                 1.3088,                0.75249,                0.86468,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.1032,                0.81675,                0.89295,                0.99677,                      1,                  0.995,                0.63197,                 1.3073,                0.68878,                0.87365,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.4163,                0.72473,                0.89285,                0.99677,                      1,                  0.995,                0.63197,                 1.3073,                0.68878,                0.87365,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.0379,                0.67809,                0.89458,                0.99726,                      1,                  0.995,                0.65945,                 1.2687,                0.70286,                0.86957,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.1833,                0.72494,                0.88286,                0.99726,                      1,                  0.995,                0.65945,                 1.2687,                0.70286,                0.86957,               0.001637,               0.001637,               0.001637
                     57,                 1.0086,                0.65224,                0.88472,                0.99772,                      1,                  0.995,                 0.6875,                 1.2208,                0.68031,                0.86462,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.1732,                0.66577,                0.89707,                0.99772,                      1,                  0.995,                 0.6875,                 1.2208,                0.68031,                0.86462,              0.0016238,              0.0016238,              0.0016238
